production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality
10.0,1.0,wc_1,,0.0,,,57.0,,,,,Pass
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
10.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.17999999999999988)]",0.17999999999999994,,,30.0,0.003245,['Pass'],Pass
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
10.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.26999999999999996), ('wc_1', 0.17999999999999988)]",0.4014,,,34.0,0.00615,['Pass'],Pass
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
10.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.25999999999999995), ('wc_1', 0.17999999999999988), ('wc_2', 0.26999999999999996)]",0.5570360000000001,,,22.0,0.014594000000000001,['Pass'],Pass
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
10.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 0.26999999999999996), ('wc_1', 0.17999999999999988), ('wc_2', 0.26999999999999996), ('wc_3', 0.25999999999999995)]",0.6766362800000001,,,36.0,0.010876,['Pass'],Pass
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
10.0,1.0,wc_1,wc_5,0.0,"[('wc_5', 0.29), ('wc_1', 0.17999999999999988), ('wc_2', 0.26999999999999996), ('wc_3', 0.25999999999999995), ('wc_4', 0.26999999999999996)]",0.7704117587999999,,,34.0,0.014701,['Pass'],Pass
10.0,1.0,wc_1,,0.0,,,,61.0,,,,Pass
10.0,1.0,wc_1,wc_6,0.0,"[('wc_6', 0.27999999999999997), ('wc_1', 0.17999999999999988), ('wc_2', 0.26999999999999996), ('wc_3', 0.25999999999999995), ('wc_4', 0.26999999999999996), ('wc_5', 0.29)]",0.834696466336,,,25.0,0.033691,['Pass'],Pass
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
