production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality
1.0,1.0,wc_1,,0.0,,,59.0,,,,,Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 1)]",1.0,,,26.0,0.003144,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 1), ('wc_1', 1)]",2.0,,,28.0,0.004822999999999999,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 1), ('wc_1', 1), ('wc_2', 1)]",3.0,,,38.0,0.005534,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1)]",4.0,,,21.0,0.007545000000000001,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_5,0.0,"[('wc_5', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1)]",5.0,,,37.0,0.009492,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail
1.0,1.0,wc_1,wc_6,0.0,"[('wc_6', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1)]",6.0,,,28.0,0.011519,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_7,0.0,"[('wc_7', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1)]",7.0,,,31.0,0.013271000000000002,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_8,0.0,"[('wc_8', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1)]",8.0,,,24.0,0.016461999999999997,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_9,0.0,"[('wc_9', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1)]",9.0,,,35.0,0.016856,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_10,0.0,"[('wc_10', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1)]",10.0,,,36.0,0.018627,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_11,0.0,"[('wc_11', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1), ('wc_10', 1)]",11.0,,,20.0,0.020763999999999998,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail
1.0,1.0,wc_1,wc_12,0.0,"[('wc_12', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1), ('wc_10', 1), ('wc_11', 1)]",12.0,,,20.0,0.022172,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_13,0.0,"[('wc_13', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1), ('wc_10', 1), ('wc_11', 1), ('wc_12', 1)]",13.0,,,31.0,0.024461,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
1.0,1.0,wc_1,wc_14,0.0,"[('wc_14', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1), ('wc_10', 1), ('wc_11', 1), ('wc_12', 1), ('wc_13', 1)]",14.0,,,25.0,0.027478000000000002,['Fail'],Fail
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
