production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality
8.0,1.0,wc_1,,0.0,,,60.0,,,,,Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 1)]",1.0,,,37.0,0.006484,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 1), ('wc_1', 1)]",2.0,,,20.0,0.01006,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 1), ('wc_1', 1), ('wc_2', 1)]",3.0,,,24.0,0.005885,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1)]",4.0,,,31.0,0.007742,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_5,0.0,"[('wc_5', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1)]",5.0,,,30.0,0.009784999999999999,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail
8.0,1.0,wc_1,wc_6,0.0,"[('wc_6', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1)]",6.0,,,22.0,0.011873,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_7,0.0,"[('wc_7', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1)]",7.0,,,37.0,0.012864000000000002,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_8,0.0,"[('wc_8', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1)]",8.0,,,29.0,0.01569,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_9,0.0,"[('wc_9', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1)]",9.0,,,22.0,0.017032000000000002,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_10,0.0,"[('wc_10', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1)]",10.0,,,39.0,0.017864,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_11,0.0,"[('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1), ('wc_10', 1)]",10.0,,,31.0,0.019456,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,61.0,,,,Fail
8.0,1.0,wc_1,wc_12,0.0,"[('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1), ('wc_10', 1)]",10.0,,,37.0,0.021495999999999998,['Fail'],Fail
8.0,1.0,wc_1,,0.0,,,,0.0,,,,Fail
8.0,1.0,wc_1,wc_13,1.0,"[('wc_13', 1), ('wc_1', 1), ('wc_2', 1), ('wc_3', 1), ('wc_4', 1), ('wc_5', 1), ('wc_6', 1), ('wc_7', 1), ('wc_8', 1), ('wc_9', 1), ('wc_10', 1)]",11.0,,,31.0,0.052583000000000005,['Fail'],Fail
14.0,1.0,wc_1,,0.0,,,,222.0,,,,Pass
14.0,1.0,wc_1,,0.0,,,63.0,,,,,Pass
14.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
14.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 1)]",1.0,,,35.0,0.002286,['Pass'],Pass
14.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
14.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 1), ('wc_1', 1)]",2.0,,,29.0,0.00445,['Pass'],Pass
14.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
