production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality
1.0,1.0,wc_1,,0.0,,,62.0,,,,,Pass
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
1.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.25999999999999995)]",0.26,,,30.0,0.003276,['Pass'],Pass
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
1.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.3)]",0.30000000000000004,,,27.0,0.008043,['Fail'],Pass
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
1.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.27999999999999997), ('wc_1', 0.25999999999999995)]",0.46720000000000006,,,26.0,0.009067,['Pass'],Pass
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
1.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 0.29), ('wc_1', 0.25999999999999995), ('wc_3', 0.27999999999999997)]",0.621712,,,35.0,0.012049999999999998,['Pass'],Pass
1.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
1.0,1.0,wc_1,wc_5,1.0,"[('wc_5', 0.3), ('wc_1', 0.25999999999999995), ('wc_3', 0.27999999999999997), ('wc_4', 0.29)]",0.7351984,,,32.0,0.06732899999999999,['Pass'],Pass
3.0,4.0,wc_4,,0.0,,,,103.0,,,,Pass
3.0,4.0,wc_4,,0.0,,,69.0,,,,,Pass
3.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass
3.0,4.0,wc_4,wc_4,0.0,"[('wc_4', 0.29)]",0.29000000000000004,,,32.0,0.003656,['Fail'],Pass
3.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass
3.0,4.0,wc_4,wc_5,0.0,"[('wc_5', 0.29), ('wc_4', 0.29)]",0.4959,,,21.0,0.007822,['Fail'],Pass
3.0,4.0,wc_4,,0.0,,,,41.0,,,,Pass
3.0,4.0,wc_4,wc_1,0.0,"[('wc_4', 0.29), ('wc_5', 0.29)]",0.4959,,,21.0,0.008022,['Fail'],Pass
3.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass
3.0,4.0,wc_4,wc_2,0.0,"[('wc_2', 0.3), ('wc_4', 0.29), ('wc_5', 0.29)]",0.64713,,,33.0,0.010648,['Fail'],Pass
3.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass
3.0,4.0,wc_4,wc_3,0.0,"[('wc_4', 0.29), ('wc_5', 0.29), ('wc_2', 0.3)]",0.64713,,,39.0,0.022085,['Fail'],Pass
3.0,4.0,wc_4,,0.0,,,,101.0,,,,Pass
3.0,4.0,wc_4,wc_6,0.0,"[('wc_4', 0.29), ('wc_5', 0.29), ('wc_2', 0.3)]",0.64713,,,27.0,0.016809,['Fail'],Pass
3.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass
3.0,4.0,wc_4,wc_7,1.0,"[('wc_7', 0.27999999999999997), ('wc_1', 0.25999999999999995), ('wc_3', 0.27999999999999997), ('wc_6', 0.22999999999999993)]",0.7046156800000001,,,25.0,0.067294,['Pass'],Pass
7.0,2.0,wc_2,,0.0,,,,202.0,,,,Pass
7.0,2.0,wc_2,,0.0,,,58.0,,,,,Pass
7.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
7.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.3)]",0.30000000000000004,,,37.0,0.003172,['Pass'],Pass
7.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
7.0,2.0,wc_2,wc_3,0.0,"[('wc_3', 0.27999999999999997), ('wc_2', 0.3)]",0.496,,,31.0,0.006623,['Pass'],Pass
7.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
7.0,2.0,wc_2,wc_4,0.0,"[('wc_2', 0.3), ('wc_3', 0.27999999999999997)]",0.496,,,22.0,0.013902999999999999,['Pass'],Pass
7.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
7.0,2.0,wc_2,wc_5,0.0,"[('wc_5', 0.29), ('wc_2', 0.3), ('wc_3', 0.27999999999999997)]",0.6421600000000001,,,22.0,0.012872999999999999,['Pass'],Pass
7.0,2.0,wc_2,,0.0,,,,41.0,,,,Pass
7.0,2.0,wc_2,wc_1,1.0,"[('wc_1', 0.25999999999999995), ('wc_2', 0.3), ('wc_3', 0.27999999999999997), ('wc_5', 0.29)]",0.7351984,,,29.0,0.065495,['Pass'],Pass
13.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass
13.0,3.0,wc_3,,0.0,,,79.0,,,,,Pass
13.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass
13.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.27999999999999997)]",0.28,,,25.0,0.004664,['Pass'],Pass
13.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass
13.0,3.0,wc_3,wc_4,0.0,"[('wc_4', 0.29)]",0.29000000000000004,,,40.0,0.005732,['Fail'],Pass
13.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass
13.0,3.0,wc_3,wc_5,0.0,"[('wc_5', 0.29), ('wc_3', 0.27999999999999997)]",0.4888,,,32.0,0.008447,['Pass'],Pass
13.0,3.0,wc_3,,0.0,,,,41.0,,,,Pass
13.0,3.0,wc_3,wc_1,0.0,"[('wc_1', 0.24999999999999994), ('wc_3', 0.27999999999999997), ('wc_5', 0.29)]",0.6166,,,23.0,0.011889,['Pass'],Pass
13.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass
