production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality
6.0,1.0,wc_1,,0.0,,,50.0,,,,,Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 1)]",1.0,,,26.0,0.001905,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 1), ('wc_1', 1)]",2.0,,,25.0,0.004328,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_3,0.0,"[('wc_1', 1), ('wc_2', 1)]",2.0,,,25.0,0.006993999999999999,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 1), ('wc_1', 1), ('wc_2', 1)]",3.0,,,40.0,0.008285,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_5,0.0,"[('wc_5', 1), ('wc_1', 1), ('wc_2', 1), ('wc_4', 1)]",4.0,,,35.0,0.012562,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,61.0,,,,Pass
6.0,1.0,wc_1,wc_6,0.0,"[('wc_1', 1), ('wc_2', 1), ('wc_4', 1), ('wc_5', 1)]",4.0,,,38.0,0.018082,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_7,0.0,"[('wc_7', 1), ('wc_1', 1), ('wc_2', 1), ('wc_4', 1), ('wc_5', 1)]",5.0,,,29.0,0.019861,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_8,0.0,"[('wc_1', 1), ('wc_2', 1), ('wc_4', 1), ('wc_5', 1), ('wc_7', 1)]",5.0,,,38.0,0.017937,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_9,0.0,"[('wc_1', 1), ('wc_2', 1), ('wc_4', 1), ('wc_5', 1), ('wc_7', 1)]",5.0,,,34.0,0.016464,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
